college_degree,high_income,age,sex,race,native-country,propensity_score,propensity_logit,source_index,match_distance,pair_id,matched_role
0,0,45,Male,Asian-Pac-Islander,India,0.7185714248557218,0.9373864229877681,19950,0.04449495498458933,11,control
1,0,29,Male,Asian-Pac-Islander,Taiwan,0.7890420185436934,1.3191606012422408,2898,0.06955435000193844,12,treated
0,0,36,Female,Asian-Pac-Islander,Taiwan,0.7772316939374554,1.2496062512403023,30179,0.06955435000193844,12,control
1,0,43,Male,Asian-Pac-Islander,India,0.7125340167420623,0.9077231196647089,24966,0.02966330332305911,13,treated
0,1,41,Male,Asian-Pac-Islander,India,0.70642000609957,0.8780598163416498,16917,0.02966330332305911,13,control
1,1,43,Male,Asian-Pac-Islander,India,0.7125340167420623,0.9077231196647089,16772,0.039891046678878106,14,treated
0,1,52,Female,Asian-Pac-Islander,India,0.7042943973374127,0.8678320729858308,1327,0.039891046678878106,14,control
1,0,29,Male,Asian-Pac-Islander,Taiwan,0.7890420185436934,1.3191606012422408,10088,0.06955435000193844,15,treated
0,0,36,Female,Asian-Pac-Islander,Taiwan,0.7772316939374554,1.2496062512403023,25737,0.06955435000193844,15,control
1,0,51,Female,Asian-Pac-Islander,Taiwan,0.8133734857087696,1.4720810261632469,5217,0.03989104667887888,16,treated
0,0,42,Male,Asian-Pac-Islander,Taiwan,0.8193532840639995,1.5119720728421258,8896,0.03989104667887888,16,control
1,0,25,Male,Asian-Pac-Islander,India,0.6549237455288657,0.6407533897571754,29186,0.022747931766480822,17,treated
0,0,57,Male,White,Iran,0.6497647853284242,0.6180054579906946,14139,0.022747931766480822,17,control
1,0,59,Male,White,Iran,0.6564849312416746,0.647668761313754,31570,0.022747931766480822,18,treated
0,0,27,Male,Asian-Pac-Islander,India,0.661596457474645,0.6704166930802348,28797,0.022747931766480822,18,control
1,1,39,Male,Asian-Pac-Islander,India,0.7002306663449519,0.8483965130185902,20456,0.05932660664611822,19,treated
0,0,35,Male,Asian-Pac-Islander,India,0.6876315865643056,0.789069906372472,26304,0.05932660664611822,19,control
1,0,49,Female,Asian-Pac-Islander,India,0.694944258113204,0.8233371180012414,21121,0.07876216661335889,20,treated
0,0,32,Male,Asian-Pac-Islander,India,0.6779954609734767,0.7445749513878825,28674,0.07876216661335889,20,control
1,0,33,Male,Asian-Pac-Islander,India,0.6812248870265433,0.7594066030494127,27227,0.02966330332305911,21,treated
0,0,31,Male,Asian-Pac-Islander,India,0.6747489389466874,0.7297432997263535,27642,0.02966330332305911,21,control
1,0,33,Male,Asian-Pac-Islander,India,0.6812248870265433,0.7594066030494127,27957,0.02966330332305911,22,treated
0,0,31,Male,Asian-Pac-Islander,India,0.6747489389466874,0.7297432997263535,27887,0.02966330332305911,22,control
1,0,26,Male,Asian-Pac-Islander,India,0.6582679330363002,0.655585041418705,18548,0.014831651661529777,23,treated
0,0,27,Male,Asian-Pac-Islander,India,0.661596457474645,0.6704166930802348,18959,0.014831651661529777,23,control
1,0,26,Male,Asian-Pac-Islander,India,0.6582679330363002,0.655585041418705,30849,0.044494954984588775,24,treated
0,1,29,Male,Asian-Pac-Islander,India,0.6682055081619566,0.7000799964032938,17827,0.044494954984588775,24,control
1,0,26,Male,Asian-Pac-Islander,India,0.6582679330363002,0.655585041418705,6558,0.046212380776803674,25,treated
0,0,90,Male,Asian-Pac-Islander,Philippines,0.6685861632650001,0.7017974221955087,14154,0.046212380776803674,25,control
1,0,23,Male,Amer-Indian-Eskimo,Mexico,0.0206209365673539,-3.8606118642129887,15206,0.014831651661529666,26,treated
0,0,24,Male,Amer-Indian-Eskimo,Mexico,0.020922611730905795,-3.845780212551459,7159,0.014831651661529666,26,control
1,1,53,Male,Asian-Pac-Islander,China,0.6019388063084237,0.41355004303201653,24925,0.014831651661529333,27,treated
0,0,54,Male,Asian-Pac-Islander,China,0.6054871659300618,0.42838169469354587,26589,0.014831651661529333,27,control
1,0,27,Female,Other,Mexico,0.03651987691153918,-3.272695172457317,8845,0.014831651661529222,28,treated
0,0,26,Female,Other,Mexico,0.03600158017714701,-3.2875268241188462,13310,0.014831651661529222,28,control
1,0,45,Male,White,India,0.6586758732577469,0.6573990230272788,9790,0.054225216698113865,29,treated
0,0,56,Male,White,Iran,0.6463820869694515,0.603173806329165,348,0.054225216698113865,29,control
1,0,39,Male,Asian-Pac-Islander,Iran,0.6527214171613664,0.6310231280436501,19313,0.034764693271063685,30,treated
0,0,22,Male,Asian-Pac-Islander,India,0.6447998293013003,0.5962584347725864,12791,0.034764693271063685,30,control
1,0,36,Female,Asian-Pac-Islander,India,0.652608641362733,0.630525646401356,14680,0.04909886329029911,31,treated
0,0,21,Male,Asian-Pac-Islander,India,0.6413956429892121,0.5814267831110569,25361,0.04909886329029911,31,control
1,1,51,Male,Other,India,0.6009430306957642,0.40939595227778014,28246,0.011920435838802479,32,treated
0,0,90,Male,Asian-Pac-Islander,South,0.5980809749849426,0.39747551643897766,12447,0.011920435838802479,32,control
1,1,45,Male,White,Iran,0.6082651397642147,0.44002563805233874,3390,0.009633705897165501,33,treated
0,0,73,Male,Asian-Pac-Islander,Philippines,0.6105582368689781,0.44965934394950424,18561,0.009633705897165501,33,control
1,1,54,Male,Asian-Pac-Islander,Japan,0.5805786590857294,0.32514929269345,32509,0.00897481369771208,34,treated
0,1,64,Male,Asian-Pac-Islander,Philippines,0.5783916615015241,0.3161744789957379,7527,0.00897481369771208,34,control
1,0,24,Male,Asian-Pac-Islander,India,0.6515641545289531,0.6259217380956457,20700,0.05422521669811409,35,treated
0,1,35,Male,Asian-Pac-Islander,Iran,0.6391545463791458,0.5716965213975316,30981,0.05422521669811409,35,control
1,0,70,Male,Asian-Pac-Islander,Philippines,0.5999278252357308,0.40516438896491547,23440,0.014831651661529388,36,treated
0,0,69,Male,Asian-Pac-Islander,Philippines,0.5963627964618513,0.3903327373033861,16097,0.014831651661529388,36,control
1,1,90,Female,White,England,0.5693839172005571,0.2793379952996316,15886,0.007173180373046761,37,treated
0,0,62,Male,Asian-Pac-Islander,Philippines,0.5711417972452207,0.28651117567267836,12572,0.007173180373046761,37,control
1,0,62,Female,White,Iran,0.626864270841675,0.5187878046656975,19088,0.006915371556578953,38,treated
0,0,28,Female,Asian-Pac-Islander,India,0.6252453138177946,0.5118724331091186,2130,0.006915371556578953,38,control
1,1,23,Male,Asian-Pac-Islander,India,0.6481894254135652,0.6110900864341159,31335,0.044494954984588664,39,treated
0,0,20,Male,Asian-Pac-Islander,India,0.6379771488853262,0.5665951314495272,6319,0.044494954984588664,39,control
1,0,44,Male,Asian-Pac-Islander,China,0.5695622031410246,0.2800651780782494,1515,0.006445997594428987,40,treated
0,0,62,Male,Asian-Pac-Islander,Philippines,0.5711417972452207,0.28651117567267836,26775,0.006445997594428987,40,control
1,1,53,Male,Asian-Pac-Islander,Philippines,0.5381820973973835,0.1530263107189116,32347,0.006445997594428571,41,treated
0,0,35,Male,Asian-Pac-Islander,China,0.5365796065827644,0.14658031312448302,11982,0.006445997594428571,41,control
1,0,49,Male,Asian-Pac-Islander,Philippines,0.523407802527703,0.09369970407279316,8533,0.0055845133693152305,42,treated
0,1,64,Male,White,,0.5220145555750982,0.08811519070347792,1676,0.0055845133693152305,42,control
1,1,60,Male,Asian-Pac-Islander,China,0.6265329544624397,0.5173716046627242,23726,0.005499171553605686,43,treated
0,0,28,Female,Asian-Pac-Islander,India,0.6252453138177946,0.5118724331091186,892,0.005499171553605686,43,control
1,1,57,Male,Asian-Pac-Islander,Philippines,0.5528896291932192,0.21235291736503015,23720,0.005197945764364276,44,treated
0,0,30,Male,White,Iran,0.5541742193051674,0.21755086312939442,7400,0.005197945764364276,44,control
1,1,57,Male,Asian-Pac-Islander,Philippines,0.5528896291932192,0.21235291736503015,3021,0.005584513369314731,45,treated
0,0,72,Male,White,,0.551508718201098,0.20676840399571542,14852,0.005584513369314731,45,control
1,1,34,Male,White,Iran,0.5687805283976044,0.27687746977551314,2652,0.005197945764364165,46,treated
0,1,61,Male,Asian-Pac-Islander,Philippines,0.5675051791079477,0.271679524011149,30304,0.005197945764364165,46,control
1,0,34,Male,White,Iran,0.5687805283976044,0.27687746977551314,6748,0.010658885740389479,47,treated
0,1,53,Male,White,France,0.566164338382381,0.26621858403512366,25057,0.010658885740389479,47,control
1,1,37,Male,White,Iran,0.5796586861185341,0.3213724247601019,20234,0.011643943358793096,48,treated
0,0,46,Male,Asian-Pac-Islander,China,0.5768189851388885,0.3097284814013088,24987,0.011643943358793096,48,control
1,1,69,Male,White,China,0.5916689595975443,0.3708690696560017,23445,0.005001689911310836,49,treated
0,1,40,Male,White,Iran,0.5904600155309755,0.36586737974469086,1387,0.005001689911310836,49,control
1,0,64,Male,Asian-Pac-Islander,China,0.6403073114578541,0.5766982113088426,6385,0.010227743355819219,50,treated
0,0,75,Female,Asian-Pac-Islander,China,0.6379483558214276,0.5664704679530234,9145,0.010227743355819219,50,control
1,1,64,Male,Asian-Pac-Islander,China,0.6403073114578541,0.5766982113088426,26134,0.020330823215135352,51,treated
0,0,31,Female,Asian-Pac-Islander,India,0.6356116080726152,0.5563673880937072,25881,0.020330823215135352,51,control
1,1,63,Male,Asian-Pac-Islander,Philippines,0.5747707492541035,0.30134282733420825,28252,0.004603908305710502,52,treated
0,0,75,Female,Asian-Pac-Islander,Philippines,0.5758955982195152,0.30594673563991875,16491,0.004603908305710502,52,control
1,1,63,Male,Asian-Pac-Islander,China,0.6368843160700132,0.5618665596473135,7200,0.01483165166153011,53,treated
0,0,62,Male,Asian-Pac-Islander,China,0.6334473937920403,0.5470349079857834,20766,0.01483165166153011,53,control
1,0,90,Male,White,,0.6162681400709276,0.473738133903249,18270,0.004049192527851075,54,treated
0,1,47,Male,White,Iran,0.6153101303444933,0.4696889413753979,25157,0.004049192527851075,54,control
1,0,30,Male,Black,Germany,0.19973950345079097,-1.3879232605174463,122,0.004002509583740599,55,treated
0,0,24,Male,Asian-Pac-Islander,Vietnam,0.1991004965816252,-1.391925770101187,3832,0.004002509583740599,55,control
1,0,28,Female,White,El-Salvador,0.0757163823307977,-2.5020244218040424,5450,0.003559871750237864,56,treated
0,0,56,Female,White,Mexico,0.07546762634279242,-2.5055842935542803,7702,0.003559871750237864,56,control
1,1,30,Female,Other,Taiwan,0.6326578287307418,0.5436359605919583,17710,0.01143270426770504,57,treated
0,0,61,Male,Asian-Pac-Islander,China,0.6299968397591161,0.5322032563242532,21360,0.01143270426770504,57,control
1,1,36,Male,Other,India,0.5465947068586272,0.1869211773548352,8122,0.00320159337077644,58,treated
0,1,52,Male,Asian-Pac-Islander,,0.5473880353042969,0.19012277072561165,10215,0.00320159337077644,58,control
1,0,57,Male,Asian-Pac-Islander,China,0.6160643944047499,0.4728766496781352,25103,0.005499171553605742,59,treated
0,1,25,Female,Asian-Pac-Islander,India,0.6147628531072731,0.46737747812452946,30812,0.005499171553605742,59,control
1,1,33,Male,White,Iran,0.5651391325417993,0.26204581811398303,9823,0.00318770830273718,60,treated
0,0,43,Male,Asian-Pac-Islander,China,0.5659223705330413,0.2652335264167202,5784,0.00318770830273718,60,control
1,1,51,Male,Asian-Pac-Islander,China,0.5948101942041913,0.3838867397089574,873,0.00318770830273718,61,treated
0,0,41,Male,White,Iran,0.5940416897399097,0.38069903140622025,6602,0.00318770830273718,61,control
1,0,53,Female,Asian-Pac-Islander,China,0.559756560766935,0.24017413139937074,3647,0.003187708302736958,62,treated
0,0,43,Female,White,Iran,0.5589708675098316,0.23698642309663379,16085,0.003187708302736958,62,control
1,0,44,Male,White,Iran,0.604725454723197,0.4251939863908092,14693,0.004172765921140853,63,treated
0,0,64,Male,White,France,0.6057224445974166,0.42936675231195004,29445,0.004172765921140853,63,control
1,1,52,Male,White,Iran,0.6327069197211299,0.5438471996830467,4433,0.017143114912398394,64,treated
0,0,29,Female,Asian-Pac-Islander,India,0.628714064560427,0.5267040847706483,7930,0.017143114912398394,64,control
1,0,30,Female,White,Poland,0.2018907158413708,-1.3745189953247157,698,0.0030877096351189515,65,treated
0,0,75,Female,Black,United-States,0.20139364848175406,-1.3776067049598346,14322,0.0030877096351189515,65,control
1,1,65,Male,White,England,0.5204692071875288,0.0819226153940358,12758,0.003054562982772527,66,treated
0,1,48,Male,Asian-Pac-Islander,Philippines,0.5197067991920528,0.07886805241126327,29975,0.003054562982772527,66,control
1,0,33,Male,Black,Nicaragua,0.07594656577292473,-2.498739888146604,15730,0.0030228533266827284,67,treated
0,1,21,Female,Amer-Indian-Eskimo,United-States,0.07615897776294552,-2.495717034819921,5622,0.0030228533266827284,67,control
1,0,38,Female,Asian-Pac-Islander,Philippines,0.43959044553644433,-0.24282437583667882,11276,0.002829248377930249,68,treated
0,0,23,Male,Asian-Pac-Islander,,0.44028755149435195,-0.23999512745874857,26745,0.002829248377930249,68,control
1,1,40,Male,Asian-Pac-Islander,Philippines,0.49005502153672875,-0.039785160880973836,4768,0.0027945866721789045,69,treated
0,0,48,Female,Asian-Pac-Islander,,0.48935667112368303,-0.04257974755315274,14363,0.0027945866721789045,69,control
1,1,43,Male,White,Philippines,0.43161191210833016,-0.2752776058568741,22812,0.0027899266971359027,70,treated
0,0,36,Female,Asian-Pac-Islander,Philippines,0.4322964756583195,-0.2724876791597382,8871,0.0027899266971359027,70,control
1,0,35,Male,White,India,0.6245913679369169,0.5090825064119828,7842,0.006542553410788798,71,treated
0,0,59,Male,Asian-Pac-Islander,China,0.6230560436631438,0.502539953001194,23468,0.006542553410788798,71,control
1,1,61,Male,White,England,0.5056487618438057,0.022596008747917413,9854,0.0026067898682815387,72,treated
0,0,90,Male,Asian-Pac-Islander,United-States,0.5049971383292735,0.019989218879635874,2303,0.0026067898682815387,72,control
1,1,43,Male,White,England,0.4392087990503534,-0.24437372115961642,799,0.0026067898682815283,73,treated
0,0,72,Male,Asian-Pac-Islander,United-States,0.43856683725315393,-0.24698051102789795,19328,0.0026067898682815283,73,control
1,0,29,Female,White,Poland,0.19951144259300904,-1.3893506469862453,12380,0.0030877096351189515,74,treated
0,0,74,Female,Black,United-States,0.19901877240381394,-1.3924383566213643,13537,0.0030877096351189515,74,control
1,0,48,Female,Asian-Pac-Islander,Philippines,0.4763906053182547,-0.09450785922138231,31484,0.0025388708298816065,75,treated
0,1,57,Male,Asian-Pac-Islander,South,0.4770239454731638,-0.09196898839150071,12258,0.0025388708298816065,75,control
1,1,48,Female,Asian-Pac-Islander,Philippines,0.4763906053182547,-0.09450785922138231,15762,0.0028292483779306515,76,treated
0,0,33,Male,Asian-Pac-Islander,,0.4770963870529368,-0.09167861084345166,22415,0.0028292483779306515,76,control
1,0,48,Female,Asian-Pac-Islander,Philippines,0.4763906053182547,-0.09450785922138231,11351,0.004643229986504932,77,treated
0,1,52,Male,White,,0.4775489495631925,-0.08986462923487738,9796,0.004643229986504932,77,control
1,0,45,Female,Asian-Pac-Islander,Philippines,0.46530514234100234,-0.13900281420597133,12909,0.002538870829881329,78,treated
0,1,54,Male,Asian-Pac-Islander,South,0.4659368592314299,-0.13646394337609,27,0.002538870829881329,78,control
1,0,45,Female,Asian-Pac-Islander,Philippines,0.46530514234100234,-0.13900281420597133,1793,0.004603908305710475,79,treated
0,0,33,Male,Asian-Pac-Islander,Philippines,0.4641598920975499,-0.1436067225116818,2412,0.004603908305710475,79,control
1,1,45,Female,Asian-Pac-Islander,Philippines,0.46530514234100234,-0.13900281420597133,27508,0.004603908305710475,80,treated
0,0,33,Male,Asian-Pac-Islander,Philippines,0.4641598920975499,-0.1436067225116818,6004,0.004603908305710475,80,control
1,1,51,Male,White,Iran,0.6292534749195868,0.5290155480215172,3389,0.049596344932593905,81,treated
0,0,33,Male,White,India,0.6176107186603483,0.4794192030889233,10302,0.049596344932593905,81,control
1,1,31,Male,White,Canada,0.3129021245639864,-0.7865863093928834,593,0.0021336012151991213,82,treated
0,0,22,Female,Asian-Pac-Islander,South,0.3133610198584622,-0.7844527081776843,31729,0.0021336012151991213,82,control
1,0,62,Male,Asian-Pac-Islander,South,0.4955474351827469,-0.01781073008385281,27850,0.002104359156623114,83,treated
0,0,57,Male,White,,0.4960734879871601,-0.015706370927229697,20455,0.002104359156623114,83,control
1,0,37,Male,Asian-Pac-Islander,South,0.40405388078663623,-0.38860202162209395,9315,0.0021043591566229924,84,treated
0,0,32,Male,White,,0.4045607007080182,-0.38649766246547096,24577,0.0021043591566229924,84,control
1,0,30,Male,Black,Haiti,0.12522575660068408,-1.9438476843688766,6419,0.001965692034794797,85,treated
0,0,25,Male,Black,United-States,0.12501058489288813,-1.9458133764036714,21629,0.001965692034794797,85,control
1,1,43,Male,Asian-Pac-Islander,,0.5141556925309406,0.05663790577184485,18405,0.0019375550018631768,86,treated
0,1,39,Male,White,France,0.5146396796011649,0.058575460773708024,27620,0.0019375550018631768,86,control
1,1,43,Male,Asian-Pac-Islander,,0.5141556925309406,0.05663790577184485,18897,0.0028292483779306238,87,treated
0,0,58,Female,Asian-Pac-Islander,Philippines,0.5134489195367393,0.053808657393914223,23592,0.0028292483779306238,87,control
1,0,33,Male,Black,,0.2509740939232869,-1.0934238481273315,16482,0.001868888743262298,88,treated
0,0,44,Male,Asian-Pac-Islander,Vietnam,0.2506229323540586,-1.0952927368705938,17888,0.001868888743262298,88,control
1,0,33,Male,Black,,0.2509740939232869,-1.0934238481273315,23017,0.0025803511653199607,89,treated
0,1,59,Female,White,Italy,0.250489335538226,-1.0960041992926515,28713,0.0025803511653199607,89,control
1,0,33,Male,Black,,0.2509740939232869,-1.0934238481273315,22338,0.0028531740008175266,90,treated
0,0,34,Male,White,United-States,0.2515108319668179,-1.090570674126514,28637,0.0028531740008175266,90,control
1,1,51,Male,Asian-Pac-Islander,Vietnam,0.2706215909494597,-0.991471175239886,32180,0.001868888743261965,91,treated
0,1,40,Male,Black,,0.2709906406712798,-0.9896022864966241,1391,0.001868888743261965,91,control
1,1,42,Male,Asian-Pac-Islander,Philippines,0.49746955721456165,-0.010121857557914312,10205,0.0018420892887190572,92,treated
0,1,36,Female,Asian-Pac-Islander,China,0.4970090489643265,-0.011963946846633369,15756,0.0018420892887190572,92,control
1,1,42,Male,Asian-Pac-Islander,Philippines,0.49746955721456165,-0.010121857557914312,28904,0.0027945866721788785,93,treated
0,0,50,Female,Asian-Pac-Islander,,0.4967709338356636,-0.01291644423009319,18900,0.0027945866721788785,93,control
1,0,58,Male,Asian-Pac-Islander,Philippines,0.5565531123967671,0.22718456902656,22861,0.0018420892887185125,94,treated
0,0,52,Female,Asian-Pac-Islander,China,0.5560984343070646,0.2253424797378415,5433,0.0018420892887185125,94,control
1,1,40,Female,Asian-Pac-Islander,China,0.5118384520100563,0.04736265979948552,14268,0.0018420892887183182,95,treated
0,0,46,Male,Asian-Pac-Islander,Philippines,0.5122987059982334,0.04920474908820384,18003,0.0018420892887183182,95,control
1,1,56,Male,Asian-Pac-Islander,Philippines,0.5492203940134225,0.19752126570350054,22316,0.0018420892887180962,96,treated
0,0,50,Female,Asian-Pac-Islander,China,0.5487642931987367,0.19567917641478244,11185,0.0018420892887180962,96,control
1,1,44,Male,Asian-Pac-Islander,,0.517859787841436,0.07146955743337442,18452,0.0018139816085742666,97,treated
0,0,63,Male,White,,0.518312689837194,0.07328353904194869,6127,0.0018139816085742666,97,control
1,0,39,Female,Asian-Pac-Islander,,0.4560971993102805,-0.17606461250691927,297,0.0018139816085741833,98,treated
0,1,58,Female,White,,0.4565472340597107,-0.17425063089834508,19700,0.0018139816085741833,98,control
1,1,47,Male,Asian-Pac-Islander,,0.5289586829046052,0.1159645124179631,24647,0.0018139816085741695,99,treated
0,0,66,Male,White,,0.5294106332270152,0.11777849402653727,1036,0.0018139816085741695,99,control
1,1,47,Male,Asian-Pac-Islander,,0.5289586829046052,0.1159645124179631,2512,0.0022352109192765868,100,treated
0,0,23,Male,White,Iran,0.5284017188148377,0.11372930149868651,23306,0.0022352109192765868,100,control
1,1,45,Female,Asian-Pac-Islander,,0.47824506812695533,-0.08707470253774131,25826,0.0018139816085739197,101,treated
0,1,64,Female,White,,0.4786977227522224,-0.0852607209291674,3247,0.0018139816085739197,101,control
1,0,45,Female,Asian-Pac-Islander,,0.47824506812695533,-0.08707470253774131,10759,0.0018139816085739197,102,treated
0,0,64,Female,White,,0.4786977227522224,-0.0852607209291674,29659,0.0018139816085739197,102,control
1,0,44,Female,White,,0.4056702279092739,-0.38189375415976073,17194,0.0018139816085738225,103,treated
0,0,25,Female,Asian-Pac-Islander,,0.4052329484514646,-0.38370773576833456,29084,0.0018139816085738225,103,control
1,0,38,Male,Asian-Pac-Islander,,0.49562002390626925,-0.017520352535803484,13742,0.0018139816085737878,104,treated
0,0,57,Male,White,,0.4960734879871601,-0.015706370927229697,7848,0.0018139816085737878,104,control
1,0,38,Male,Asian-Pac-Islander,,0.49562002390626925,-0.017520352535803484,25090,0.002829248377930721,105,treated
0,1,53,Female,Asian-Pac-Islander,Philippines,0.4949127753246524,-0.020349600913734205,2330,0.002829248377930721,105,control
1,1,61,Male,White,,0.510903330148006,0.04362023571888909,3107,0.0018139816085737809,106,treated
0,0,42,Male,Asian-Pac-Islander,,0.5104500415556829,0.041806254110315307,29356,0.0018139816085737809,106,control
1,0,61,Male,White,,0.510903330148006,0.04362023571888909,2099,0.005584513369314752,107,treated
0,0,46,Male,Asian-Pac-Islander,Philippines,0.5122987059982334,0.04920474908820384,20883,0.005584513369314752,107,control
1,1,61,Male,White,,0.510903330148006,0.04362023571888909,9863,0.009247138292214942,108,treated
0,0,45,Male,Asian-Pac-Islander,Philippines,0.5085924283701145,0.034373097426674146,8412,0.009247138292214942,108,control
1,0,61,Male,White,,0.510903330148006,0.04362023571888909,2371,0.009247138292214942,109,treated
0,0,45,Male,Asian-Pac-Islander,Philippines,0.5085924283701145,0.034373097426674146,15216,0.009247138292214942,109,control
1,1,54,Female,Asian-Pac-Islander,United-States,0.3346281476448678,-0.6873261525680769,3184,0.0018139816085736005,110,treated
0,0,73,Female,White,United-States,0.3350321556350301,-0.6855121709595033,1263,0.0018139816085736005,110,control
1,0,41,Male,White,Germany,0.37683186512626465,-0.5030172549172292,29484,0.0017676729065909669,111,treated
0,0,50,Male,White,Canada,0.3764168536507945,-0.5047849278238201,27147,0.0017676729065909669,111,control
1,0,41,Male,White,Germany,0.37683186512626465,-0.5030172549172292,16101,0.002001386656026005,112,treated
0,0,47,Male,Other,,0.3773019657014566,-0.5010158682612031,17445,0.002001386656026005,112,control
1,1,57,Male,White,Germany,0.43396038191842234,-0.26571082833275506,28650,0.0017676729065906338,113,treated
0,0,66,Male,White,Canada,0.43352622371706356,-0.2674785012393457,8849,0.0017676729065906338,113,control
1,1,41,Male,White,Canada,0.34563775975434285,-0.6382697927775869,2767,0.0017676729065905228,114,treated
0,0,32,Male,White,Germany,0.3460376674145812,-0.6365021198709964,20613,0.0017676729065905228,114,control
1,1,33,Male,White,Germany,0.34940162491204846,-0.6216704682094667,11079,0.0017676729065905228,115,treated
0,0,42,Male,White,Canada,0.3489999043242545,-0.6234381411160572,22024,0.0017676729065905228,115,control
1,1,33,Male,White,Germany,0.34940162491204846,-0.6216704682094667,6578,0.00247028746523148,116,treated
0,0,28,Female,White,,0.34996337967741026,-0.6192001807442352,16832,0.00247028746523148,116,control
1,1,41,Male,White,Canada,0.34563775975434285,-0.6382697927775869,17737,0.0017676729065905228,117,treated
0,0,32,Male,White,Germany,0.3460376674145812,-0.6365021198709964,28166,0.0017676729065905228,117,control
1,1,39,Male,White,Canada,0.338959809537995,-0.6679330961006462,16412,0.0017676729065904118,118,treated
0,0,30,Male,White,Germany,0.339355997714631,-0.6661654231940558,30843,0.0017676729065904118,118,control
1,1,40,Male,White,Germany,0.3733553686899292,-0.5178489065787594,28180,0.0017676729065901897,119,treated
0,0,49,Male,White,Canada,0.37294189459679494,-0.5196165794853496,28563,0.0017676729065901897,119,control
1,0,36,Female,White,El-Salvador,0.08444954582026232,-2.383371208511805,17143,0.001703478678411141,120,treated
0,0,17,Male,Amer-Indian-Eskimo,United-States,0.08458134834682281,-2.381667729833394,30558,0.001703478678411141,120,control
1,0,56,Female,Black,Haiti,0.1503829531972856,-1.7316006528017513,19254,0.0016738718154392096,121,treated
0,0,38,Male,White,Columbia,0.15016921121083587,-1.7332745246171906,3386,0.0016738718154392096,121,control
1,0,43,Male,Asian-Pac-Islander,Vietnam,0.24784769942033463,-1.1101243885321235,10332,0.0016069055232830198,122,treated
0,0,35,Male,White,Ireland,0.248147378851383,-1.1085174830088405,20411,0.0016069055232830198,122,control
1,0,35,Male,Asian-Pac-Islander,Vietnam,0.226395445610286,-1.2287776018243606,23887,0.0016069055232825757,123,treated
0,0,27,Male,White,Ireland,0.2266770036522099,-1.227170696301078,2966,0.0016069055232825757,123,control
1,0,35,Male,Asian-Pac-Islander,Vietnam,0.226395445610286,-1.2287776018243606,8570,0.0016069055232825757,124,treated
0,0,27,Male,White,Ireland,0.2266770036522099,-1.227170696301078,15080,0.0016069055232825757,124,control
